code,description
M1186,Other specified crystal arthropathies: Lower leg
M1187,Other specified crystal arthropathies: Ankle and foot
M1188,Other specified crystal arthropathies: Other
M1189,Other specified crystal arthropathies: Site unspecified
M119,"Crystal arthropathy, unspecified"
M1190,"Crystal arthropathy, unspecified: Multiple sites"
M1191,"Crystal arthropathy, unspecified: Shoulder region"
M1192,"Crystal arthropathy, unspecified: Upper arm"
M1193,"Crystal arthropathy, unspecified: Forearm"
M1194,"Crystal arthropathy, unspecified: Hand"
M1195,"Crystal arthropathy, unspecified: Pelvic region and thigh"
M1196,"Crystal arthropathy, unspecified: Lower leg"
M1197,"Crystal arthropathy, unspecified: Ankle and foot"
M1198,"Crystal arthropathy, unspecified: Other"
M1199,"Crystal arthropathy, unspecified: Site unspecified"
M120,Chronic postrheumatic arthropathy [Jaccoud]
M1200,Chronic postrheumatic arthropathy [Jaccoud]: Multiple sites
M1201,Chronic postrheumatic arthropathy [Jaccoud]: Shoulder region
M1202,Chronic postrheumatic arthropathy [Jaccoud]: Upper arm
M1203,Chronic postrheumatic arthropathy [Jaccoud]: Forearm
M1204,Chronic postrheumatic arthropathy [Jaccoud]: Hand
M1205,Chronic postrheumatic arthropathy [Jaccoud]: Pelvic region and thigh
M1206,Chronic postrheumatic arthropathy [Jaccoud]: Lower leg
M1207,Chronic postrheumatic arthropathy [Jaccoud]: Ankle and foot
M1208,Chronic postrheumatic arthropathy [Jaccoud]: Other
M1209,Chronic postrheumatic arthropathy [Jaccoud]: Site unspecified
M121,Kaschin-Beck disease
M1210,Kaschin-Beck disease: Multiple sites
M1211,Kaschin-Beck disease: Shoulder region
M1212,Kaschin-Beck disease: Upper arm
M1213,Kaschin-Beck disease: Forearm
M1214,Kaschin-Beck disease: Hand
M1215,Kaschin-Beck disease: Pelvic region and thigh
M1216,Kaschin-Beck disease: Lower leg
M1217,Kaschin-Beck disease: Ankle and foot
M1218,Kaschin-Beck disease: Other
M1219,Kaschin-Beck disease: Site unspecified
M122,Villonodular synovitis (pigmented)
M1220,Villonodular synovitis (pigmented): Multiple sites
M1221,Villonodular synovitis (pigmented): Shoulder region
M1222,Villonodular synovitis (pigmented): Upper arm
M1223,Villonodular synovitis (pigmented): Forearm
M1224,Villonodular synovitis (pigmented): Hand
M1225,Villonodular synovitis (pigmented): Pelvic region and thigh
M1226,Villonodular synovitis (pigmented): Lower leg
M1227,Villonodular synovitis (pigmented): Ankle and foot
M1228,Villonodular synovitis (pigmented): Other
M1229,Villonodular synovitis (pigmented): Site unspecified
M123,Palindromic rheumatism
M1230,Palindromic rheumatism: Multiple sites
M1231,Palindromic rheumatism: Shoulder region
M1232,Palindromic rheumatism: Upper arm
M1233,Palindromic rheumatism: Forearm
M1234,Palindromic rheumatism: Hand
M1235,Palindromic rheumatism: Pelvic region and thigh
M1236,Palindromic rheumatism: Lower leg
M1237,Palindromic rheumatism: Ankle and foot
M1238,Palindromic rheumatism: Other
M1239,Palindromic rheumatism: Site unspecified
M124,Intermittent hydrarthrosis
M1240,Intermittent hydrarthrosis: Multiple sites
M1241,Intermittent hydrarthrosis: Shoulder region
M1242,Intermittent hydrarthrosis: Upper arm
M1243,Intermittent hydrarthrosis: Forearm
M1244,Intermittent hydrarthrosis: Hand
M1245,Intermittent hydrarthrosis: Pelvic region and thigh
M1246,Intermittent hydrarthrosis: Lower leg
M1247,Intermittent hydrarthrosis: Ankle and foot
M1248,Intermittent hydrarthrosis: Other
M1249,Intermittent hydrarthrosis: Site unspecified
M125,Traumatic arthropathy
M1250,Traumatic arthropathy: Multiple sites
M1251,Traumatic arthropathy: Shoulder region
M1252,Traumatic arthropathy: Upper arm
M1253,Traumatic arthropathy: Forearm
M1254,Traumatic arthropathy: Hand
M1255,Traumatic arthropathy: Pelvic region and thigh
M1256,Traumatic arthropathy: Lower leg
M1257,Traumatic arthropathy: Ankle and foot
M1258,Traumatic arthropathy: Other
M1259,Traumatic arthropathy: Site unspecified
M128,"Other specific arthropathies, not elsewhere classified"
M1280,"Other specific arthropathies, not elsewhere classified: Multiple sites"
M1281,"Other specific arthropathies, not elsewhere classified: Shoulder region"
M1282,"Other specific arthropathies, not elsewhere classified: Upper arm"
M1283,"Other specific arthropathies, not elsewhere classified: Forearm"
M1284,"Other specific arthropathies, not elsewhere classified: Hand"
M1285,"Other specific arthropathies, not elsewhere classified: Pelvic region and thigh"
M1286,"Other specific arthropathies, not elsewhere classified: Lower leg"
M1287,"Other specific arthropathies, not elsewhere classified: Ankle and foot"
M1288,"Other specific arthropathies, not elsewhere classified: Other"
M1289,"Other specific arthropathies, not elsewhere classified: Site unspecified"
M130,"Polyarthritis, unspecified"
M1300,"Polyarthritis, unspecified: Multiple sites"
M1301,"Polyarthritis, unspecified: Shoulder region"
M1302,"Polyarthritis, unspecified: Upper arm"
M1303,"Polyarthritis, unspecified: Forearm"
M1304,"Polyarthritis, unspecified: Hand"
M1305,"Polyarthritis, unspecified: Pelvic region and thigh"
M1306,"Polyarthritis, unspecified: Lower leg"
M1307,"Polyarthritis, unspecified: Ankle and foot"
M1308,"Polyarthritis, unspecified: Other"
M1309,"Polyarthritis, unspecified: Site unspecified"
M131,"Monoarthritis, not elsewhere classified"
M1310,"Monoarthritis, not elsewhere classified: Multiple sites"
M1311,"Monoarthritis, not elsewhere classified: Shoulder region"
M1312,"Monoarthritis, not elsewhere classified: Upper arm"
M1313,"Monoarthritis, not elsewhere classified: Forearm"
M1314,"Monoarthritis, not elsewhere classified: Hand"
M1315,"Monoarthritis, not elsewhere classified: Pelvic region and thigh"
M1316,"Monoarthritis, not elsewhere classified: Lower leg"
M1317,"Monoarthritis, not elsewhere classified: Ankle and foot"
M1318,"Monoarthritis, not elsewhere classified: Other"
M1319,"Monoarthritis, not elsewhere classified: Site unspecified"
M138,Other specified arthritis
M1380,Other specified arthritis: Multiple sites
M1381,Other specified arthritis: Shoulder region
M1382,Other specified arthritis: Upper arm
M1383,Other specified arthritis: Forearm
M1384,Other specified arthritis: Hand
M1385,Other specified arthritis: Pelvic region and thigh
M1386,Other specified arthritis: Lower leg
M1387,Other specified arthritis: Ankle and foot
M1388,Other specified arthritis: Other
M1389,Other specified arthritis: Site unspecified
M139,"Arthritis, unspecified"
M1390,"Arthritis, unspecified: Multiple sites"
M1391,"Arthritis, unspecified: Shoulder region"
M1392,"Arthritis, unspecified: Upper arm"
M1393,"Arthritis, unspecified: Forearm"
M1394,"Arthritis, unspecified: Hand"
M1395,"Arthritis, unspecified: Pelvic region and thigh"
M1396,"Arthritis, unspecified: Lower leg"
M1397,"Arthritis, unspecified: Ankle and foot"
M1398,"Arthritis, unspecified: Other"
M1399,"Arthritis, unspecified: Site unspecified"
M140,Gouty arthropathy due to enzyme defects and other inherited disorders
M141,Crystal arthropathy in other metabolic disorders
M142,Diabetic arthropathy
M143,Lipoid dermatoarthritis
M144,Arthropathy in amyloidosis
M145,"Arthropathies in other endocrine, nutritional and metabolic disorders"
M146,Neuropathic arthropathy
M148,Arthropathies in other specified diseases classified elsewhere
M150,Primary generalized (osteo)arthrosis
M151,Heberden nodes (with arthropathy)
M152,Bouchard nodes (with arthropathy)
M153,Secondary multiple arthrosis
M154,Erosive (osteo)arthrosis
M158,Other polyarthrosis
M159,"Polyarthrosis, unspecified"
M160,"Primary coxarthrosis, bilateral"
M161,Other primary coxarthrosis
M162,"Coxarthrosis resulting from dysplasia, bilateral"
M163,Other dysplastic coxarthrosis
M164,"Post-traumatic coxarthrosis, bilateral"
M165,Other post-traumatic coxarthrosis
M166,"Other secondary coxarthrosis, bilateral"
M167,Other secondary coxarthrosis
M169,"Coxarthrosis, unspecified"
M170,"Primary gonarthrosis, bilateral"
M171,Other primary gonarthrosis
M172,"Post-traumatic gonarthrosis, bilateral"
M173,Other post-traumatic gonarthrosis
M174,"Other secondary gonarthrosis, bilateral"
M175,Other secondary gonarthrosis
M179,"Gonarthrosis, unspecified"
M180,"Primary arthrosis of first carpometacarpal joints, bilateral"
M181,Other primary arthrosis of first carpometacarpal joint
M182,"Post-traumatic arthrosis of first carpometacarpal joints, bilateral"
M183,Other post-traumatic arthrosis of first carpometacarpal joint
M184,"Other secondary arthrosis of first carpometacarpal joints, bilateral"
M185,Other secondary arthrosis of first carpometacarpal joint
M189,"Arthrosis of first carpometacarpal joint, unspecified"
M190,Primary arthrosis of other joints
M1900,Primary arthrosis of other joints: Multiple sites
M1901,Primary arthrosis of other joints: Shoulder region
M1902,Primary arthrosis of other joints: Upper arm
M1903,Primary arthrosis of other joints: Forearm
M1904,Primary arthrosis of other joints: Hand
M1905,Primary arthrosis of other joints: Pelvic region and thigh
M1907,Primary arthrosis of other joints: Ankle and foot
M1908,Primary arthrosis of other joints: Other
M1909,Primary arthrosis of other joints: Site unspecified
M191,Post-traumatic arthrosis of other joints
M1910,Post-traumatic arthrosis of other joints: Multiple sites
M1911,Post-traumatic arthrosis of other joints: Shoulder region
M1912,Post-traumatic arthrosis of other joints: Upper arm
M1913,Post-traumatic arthrosis of other joints: Forearm
M1914,Post-traumatic arthrosis of other joints: Hand
M1915,Post-traumatic arthrosis of other joints: Pelvic region and thigh
M1917,Post-traumatic arthrosis of other joints: Ankle and foot
M1918,Post-traumatic arthrosis of other joints: Other
M1919,Post-traumatic arthrosis of other joints: Site unspecified
M192,Other secondary arthrosis
M1920,Other secondary arthrosis: Multiple sites
M1921,Other secondary arthrosis: Shoulder region
M1922,Other secondary arthrosis: Upper arm
M1923,Other secondary arthrosis: Forearm
M1924,Other secondary arthrosis: Hand
M1925,Other secondary arthrosis: Pelvic region and thigh
M1927,Other secondary arthrosis: Ankle and foot
M1928,Other secondary arthrosis: Other
M1929,Other secondary arthrosis: Site unspecified
M198,Other specified arthrosis
M1980,Other specified arthrosis: Multiple sites
M1981,Other specified arthrosis: Shoulder region
M1982,Other specified arthrosis: Upper arm
M1983,Other specified arthrosis: Forearm
M1984,Other specified arthrosis: Hand
M1985,Other specified arthrosis: Pelvic region and thigh
M1986,Other specified arthrosis: Lower leg
M1987,Other specified arthrosis: Ankle and foot
M1988,Other specified arthrosis: Other
M1989,Other specified arthrosis: Site unspecified
M199,"Arthrosis, unspecified"
M1990,"Arthrosis, unspecified: Multiple sites"
M1991,"Arthrosis, unspecified: Shoulder region"
M1992,"Arthrosis, unspecified: Upper arm"
M1993,"Arthrosis, unspecified: Forearm"
M1994,"Arthrosis, unspecified: Hand"
M1995,"Arthrosis, unspecified: Pelvic region and thigh"
M1997,"Arthrosis, unspecified: Ankle and foot"
M1998,"Arthrosis, unspecified: Other"
M1999,"Arthrosis, unspecified: Site unspecified"
M200,Deformity of finger(s)
M201,Hallux valgus (acquired)
M202,Hallux rigidus
M203,Other deformity of hallux (acquired)
M204,Other hammer toe(s) (acquired)
M205,Other deformities of toe(s) (acquired)
M206,"Acquired deformity of toe(s), unspecified"
M210,"Valgus deformity, not elsewhere classified"
M2100,"Valgus deformity, not elsewhere classified: Multiple sites"
M2101,"Valgus deformity, not elsewhere classified: Shoulder region"
M2102,"Valgus deformity, not elsewhere classified: Upper arm"
M2103,"Valgus deformity, not elsewhere classified: Forearm"
M2104,"Valgus deformity, not elsewhere classified: Hand"
M2105,"Valgus deformity, not elsewhere classified: Pelvic region and thigh"
M2106,"Valgus deformity, not elsewhere classified: Lower leg"
M2107,"Valgus deformity, not elsewhere classified: Ankle and foot"
M2108,"Valgus deformity, not elsewhere classified: Other"
M2109,"Valgus deformity, not elsewhere classified: Site unspecified"
M211,"Varus deformity, not elsewhere classified"
M2110,"Varus deformity, not elsewhere classified: Multiple sites"
M2111,"Varus deformity, not elsewhere classified: Shoulder region"
M2112,"Varus deformity, not elsewhere classified: Upper arm"
M2113,"Varus deformity, not elsewhere classified: Forearm"
M2114,"Varus deformity, not elsewhere classified: Hand"
M2115,"Varus deformity, not elsewhere classified: Pelvic region and thigh"
M2116,"Varus deformity, not elsewhere classified: Lower leg"
M2117,"Varus deformity, not elsewhere classified: Ankle and foot"
M2118,"Varus deformity, not elsewhere classified: Other"
M2119,"Varus deformity, not elsewhere classified: Site unspecified"
M212,Flexion deformity
M2120,Flexion deformity: Multiple sites
M2121,Flexion deformity: Shoulder region
M2122,Flexion deformity: Upper arm
M2123,Flexion deformity: Forearm
M2124,Flexion deformity: Hand
M2125,Flexion deformity: Pelvic region and thigh
M2126,Flexion deformity: Lower leg
M2127,Flexion deformity: Ankle and foot
M2128,Flexion deformity: Other
M2129,Flexion deformity: Site unspecified
M213,Wrist or foot drop (acquired)
M2130,Wrist or foot drop (acquired): Multiple sites
M2133,Wrist or foot drop (acquired): Forearm
M2134,Wrist or foot drop (acquired): Hand
M2137,Wrist or foot drop (acquired): Ankle and foot
M214,Flat foot [pes planus] (acquired)
M215,"Acquired clawhand, clubhand, clawfoot and clubfoot"
M2150,"Acquired clawhand, clubhand, clawfoot and clubfoot: Multiple sites"
M2154,"Acquired clawhand, clubhand, clawfoot and clubfoot: Hand"
M2157,"Acquired clawhand, clubhand, clawfoot and clubfoot: Ankle and foot"
M216,Other acquired deformities of ankle and foot
M217,Unequal limb length (acquired)
M2170,Unequal limb length (acquired): Multiple sites
M2172,Unequal limb length (acquired): Upper arm
M2173,Unequal limb length (acquired): Forearm
M2174,Unequal limb length (acquired): Hand
M2175,Unequal limb length (acquired): Pelvic region and thigh
M2176,Unequal limb length (acquired): Lower leg
M2177,Unequal limb length (acquired): Ankle and foot
M2179,Unequal limb length (acquired): Site unspecified
M218,Other specified acquired deformities of limbs
M2180,Other specified acquired deformities of limbs: Multiple sites
M2181,Other specified acquired deformities of limbs: Shoulder region
M2182,Other specified acquired deformities of limbs: Upper arm
M2183,Other specified acquired deformities of limbs: Forearm
M2184,Other specified acquired deformities of limbs: Hand
M2185,Other specified acquired deformities of limbs: Pelvic region and thigh
M2186,Other specified acquired deformities of limbs: Lower leg
M2187,Other specified acquired deformities of limbs: Ankle and foot
M2189,Other specified acquired deformities of limbs: Site unspecified
M219,"Acquired deformity of limb, unspecified"
M2190,"Acquired deformity of limb, unspecified: Multiple sites"
M2191,"Acquired deformity of limb, unspecified: Shoulder region"
M2192,"Acquired deformity of limb, unspecified: Upper arm"
M2193,"Acquired deformity of limb, unspecified: Forearm"
M2194,"Acquired deformity of limb, unspecified: Hand"
M2195,"Acquired deformity of limb, unspecified: Pelvic region and thigh"
M2196,"Acquired deformity of limb, unspecified: Lower leg"
M2197,"Acquired deformity of limb, unspecified: Ankle and foot"
M2199,"Acquired deformity of limb, unspecified: Site unspecified"
M220,Recurrent dislocation of patella
M221,Recurrent subluxation of patella
M222,Patellofemoral disorders
M223,Other derangements of patella
M224,Chondromalacia patellae
M228,Other disorders of patella
M229,"Disorder of patella, unspecified"
M230,Cystic meniscus
M2300,Cystic meniscus: Multiple sites
M2301,Cystic meniscus: Anterior cruciate ligament or Anterior horn of medial meniscus
M2302,Cystic meniscus: Posterior cruciate ligament or Posterior horn of medial meniscus
M2303,Cystic meniscus: Medial collateral ligament or Other and unspecified medial meniscus
M2304,Cystic meniscus: Lateral collateral ligament or Anterior horn of lateral meniscus
M2305,Cystic meniscus: Posterior horn of lateral meniscus
M2306,Cystic meniscus: Other and unspecified lateral meniscus
M2309,Cystic meniscus: Unspecified ligament or Unspecified meniscus
M231,Discoid meniscus (congenital)
M2310,Discoid meniscus (congenital): Multiple sites
M2311,Discoid meniscus (congenital): Anterior cruciate ligament or Anterior horn of medial meniscus
M2312,Discoid meniscus (congenital): Posterior cruciate ligament or Posterior horn of medial meniscus
M2313,Discoid meniscus (congenital): Medial collateral ligament or Other and unspecified medial meniscus
M2314,Discoid meniscus (congenital): Lateral collateral ligament or Anterior horn of lateral meniscus
M2315,Discoid meniscus (congenital): Posterior horn of lateral meniscus
M2316,Discoid meniscus (congenital): Other and unspecified lateral meniscus
M2319,Discoid meniscus (congenital): Unspecified ligament or Unspecified meniscus
M232,Derangement of meniscus due to old tear or injury
M2320,Derangement of meniscus due to old tear or injury: Multiple sites
M2321,Derangement of meniscus due to old tear or injury: Anterior cruciate ligament or Anterior horn of medial meniscus
M2322,Derangement of meniscus due to old tear or injury: Posterior cruciate ligament or Posterior horn of medial meniscus
M2323,Derangement of meniscus due to old tear or injury: Medial collateral ligament or Other and unspecified medial meniscus
M2324,Derangement of meniscus due to old tear or injury: Lateral collateral ligament or Anterior horn of lateral meniscus
M2325,Derangement of meniscus due to old tear or injury: Posterior horn of lateral meniscus
M2326,Derangement of meniscus due to old tear or injury: Other and unspecified lateral meniscus
M2329,Derangement of meniscus due to old tear or injury: Unspecified ligament or Unspecified meniscus
M233,Other meniscus derangements
M2330,Other meniscus derangements: Multiple sites
M2331,Other meniscus derangements: Anterior cruciate ligament or Anterior horn of medial meniscus
M2332,Other meniscus derangements: Posterior cruciate ligament or Posterior horn of medial meniscus
M2333,Other meniscus derangements: Medial collateral ligament or Other and unspecified medial meniscus
M2334,Other meniscus derangements: Lateral collateral ligament or Anterior horn of lateral meniscus
M2335,Other meniscus derangements: Posterior horn of lateral meniscus
M2336,Other meniscus derangements: Other and unspecified lateral meniscus
M2339,Other meniscus derangements: Unspecified ligament or Unspecified meniscus
M234,Loose body in knee
M235,Chronic instability of knee
M2350,Chronic instability of knee: Multiple sites
M2351,Chronic instability of knee: Anterior cruciate ligament or Anterior horn of medial meniscus
M2352,Chronic instability of knee: Posterior cruciate ligament or Posterior horn of medial meniscus
M2353,Chronic instability of knee: Medial collateral ligament or Other and unspecified medial meniscus
M2354,Chronic instability of knee: Lateral collateral ligament or Anterior horn of lateral meniscus
M2355,Chronic instability of knee: Posterior horn of lateral meniscus
M2356,Chronic instability of knee: Other and unspecified lateral meniscus
M2357,Chronic instability of knee: Capsular ligament
M2359,Chronic instability of knee: Unspecified ligament or Unspecified meniscus
M236,Other spontaneous disruption of ligament(s) of knee
M2360,Other spontaneous disruption of ligament(s) of knee: Multiple sites
M2361,Other spontaneous disruption of ligament(s) of knee: Anterior cruciate ligament or Anterior horn of medial meniscus
M2362,Other spontaneous disruption of ligament(s) of knee: Posterior cruciate ligament or Posterior horn of medial meniscus
M2363,Other spontaneous disruption of ligament(s) of knee: Medial collateral ligament or Other and unspecified medial meniscus
M2364,Other spontaneous disruption of ligament(s) of knee: Lateral collateral ligament or Anterior horn of lateral meniscus
M2367,Other spontaneous disruption of ligament(s) of knee: Capsular ligament
M2369,Other spontaneous disruption of ligament(s) of knee: Unspecified ligament or Unspecified meniscus
M238,Other internal derangements of knee
M2380,Other internal derangements of knee: Multiple sites
M2381,Other internal derangements of knee: Anterior cruciate ligament or Anterior horn of medial meniscus
M2382,Other internal derangements of knee: Posterior cruciate ligament or Posterior horn of medial meniscus
M2383,Other internal derangements of knee: Medial collateral ligament or Other and unspecified medial meniscus
M2384,Other internal derangements of knee: Lateral collateral ligament or Anterior horn of lateral meniscus
M2385,Other internal derangements of knee: Posterior horn of lateral meniscus
M2386,Other internal derangements of knee: Other and unspecified lateral meniscus
M2387,Other internal derangements of knee: Capsular ligament
M2389,Other internal derangements of knee: Unspecified ligament or Unspecified meniscus
M239,"Internal derangement of knee, unspecified"
M2390,"Internal derangement of knee, unspecified: Multiple sites"
M2391,"Internal derangement of knee, unspecified: Anterior cruciate ligament or Anterior horn of medial meniscus"
M2392,"Internal derangement of knee, unspecified: Posterior cruciate ligament or Posterior horn of medial meniscus"
M2393,"Internal derangement of knee, unspecified: Medial collateral ligament or Other and unspecified medial meniscus"
M2394,"Internal derangement of knee, unspecified: Lateral collateral ligament or Anterior horn of lateral meniscus"
M2395,"Internal derangement of knee, unspecified: Posterior horn of lateral meniscus"
M2396,"Internal derangement of knee, unspecified: Other and unspecified lateral meniscus"
M2397,"Internal derangement of knee, unspecified: Capsular ligament"
M2399,"Internal derangement of knee, unspecified: Unspecified ligament or Unspecified meniscus"
M240,Loose body in joint
M2400,Loose body in joint: Multiple sites
M2401,Loose body in joint: Shoulder region
M2402,Loose body in joint: Upper arm
M2403,Loose body in joint: Forearm
M2404,Loose body in joint: Hand
M2405,Loose body in joint: Pelvic region and thigh
M2407,Loose body in joint: Ankle and foot
M2408,Loose body in joint: Other
M2409,Loose body in joint: Site unspecified
M241,Other articular cartilage disorders
M2410,Other articular cartilage disorders: Multiple sites
M2411,Other articular cartilage disorders: Shoulder region
M2412,Other articular cartilage disorders: Upper arm
M2413,Other articular cartilage disorders: Forearm
M2414,Other articular cartilage disorders: Hand
M2415,Other articular cartilage disorders: Pelvic region and thigh
M2416,Other articular cartilage disorders: Lower leg
M2417,Other articular cartilage disorders: Ankle and foot
M2418,Other articular cartilage disorders: Other
M2419,Other articular cartilage disorders: Site unspecified
M242,Disorder of ligament
M2420,Disorder of ligament: Multiple sites
M2421,Disorder of ligament: Shoulder region
M2422,Disorder of ligament: Upper arm
M2423,Disorder of ligament: Forearm
M2424,Disorder of ligament: Hand
M2425,Disorder of ligament: Pelvic region and thigh
M2426,Disorder of ligament: Lower leg
M2427,Disorder of ligament: Ankle and foot
M2428,Disorder of ligament: Other
M2429,Disorder of ligament: Site unspecified
M243,"Pathological dislocation and subluxation of joint, not elsewhere classified"
M2430,"Pathological dislocation and subluxation of joint, not elsewhere classified: Multiple sites"
M2431,"Pathological dislocation and subluxation of joint, not elsewhere classified: Shoulder region"
M2432,"Pathological dislocation and subluxation of joint, not elsewhere classified: Upper arm"
M2433,"Pathological dislocation and subluxation of joint, not elsewhere classified: Forearm"
M2434,"Pathological dislocation and subluxation of joint, not elsewhere classified: Hand"
M2435,"Pathological dislocation and subluxation of joint, not elsewhere classified: Pelvic region and thigh"
M2436,"Pathological dislocation and subluxation of joint, not elsewhere classified: Lower leg"
M2437,"Pathological dislocation and subluxation of joint, not elsewhere classified: Ankle and foot"
M2438,"Pathological dislocation and subluxation of joint, not elsewhere classified: Other"
M2439,"Pathological dislocation and subluxation of joint, not elsewhere classified: Site unspecified"
M244,Recurrent dislocation and subluxation of joint
M2440,Recurrent dislocation and subluxation of joint: Multiple sites
M2441,Recurrent dislocation and subluxation of joint: Shoulder region
M2442,Recurrent dislocation and subluxation of joint: Upper arm
M2443,Recurrent dislocation and subluxation of joint: Forearm
M2444,Recurrent dislocation and subluxation of joint: Hand
M2445,Recurrent dislocation and subluxation of joint: Pelvic region and thigh
M2446,Recurrent dislocation and subluxation of joint: Lower leg
M2447,Recurrent dislocation and subluxation of joint: Ankle and foot
M2448,Recurrent dislocation and subluxation of joint: Other
M2449,Recurrent dislocation and subluxation of joint: Site unspecified
M245,Contracture of joint
M2450,Contracture of joint: Multiple sites
M2451,Contracture of joint: Shoulder region
M2452,Contracture of joint: Upper arm
M2453,Contracture of joint: Forearm
M2454,Contracture of joint: Hand
M2455,Contracture of joint: Pelvic region and thigh
M2456,Contracture of joint: Lower leg
M2457,Contracture of joint: Ankle and foot
M2458,Contracture of joint: Other
M2459,Contracture of joint: Site unspecified
M246,Ankylosis of joint
M2460,Ankylosis of joint: Multiple sites
M2461,Ankylosis of joint: Shoulder region
M2462,Ankylosis of joint: Upper arm
M2463,Ankylosis of joint: Forearm
M2464,Ankylosis of joint: Hand
M2465,Ankylosis of joint: Pelvic region and thigh
M2466,Ankylosis of joint: Lower leg
M2467,Ankylosis of joint: Ankle and foot
M2468,Ankylosis of joint: Other
M2469,Ankylosis of joint: Site unspecified
M247,Protrusio acetabuli
M248,"Other specific joint derangements, not elsewhere classified"
M2480,"Other specific joint derangements, not elsewhere classified: Multiple sites"
M2481,"Other specific joint derangements, not elsewhere classified: Shoulder region"
M2482,"Other specific joint derangements, not elsewhere classified: Upper arm"
M2483,"Other specific joint derangements, not elsewhere classified: Forearm"
M2484,"Other specific joint derangements, not elsewhere classified: Hand"
M2485,"Other specific joint derangements, not elsewhere classified: Pelvic region and thigh"
M2486,"Other specific joint derangements, not elsewhere classified: Lower leg"
M2487,"Other specific joint derangements, not elsewhere classified: Ankle and foot"
M2488,"Other specific joint derangements, not elsewhere classified: Other"
M2489,"Other specific joint derangements, not elsewhere classified: Site unspecified"
M249,"Joint derangement, unspecified"
M2490,"Joint derangement, unspecified: Multiple sites"
M2491,"Joint derangement, unspecified: Shoulder region"
M2492,"Joint derangement, unspecified: Upper arm"
M2493,"Joint derangement, unspecified: Forearm"
M2494,"Joint derangement, unspecified: Hand"
M2495,"Joint derangement, unspecified: Pelvic region and thigh"
M2496,"Joint derangement, unspecified: Lower leg"
M2497,"Joint derangement, unspecified: Ankle and foot"
M2498,"Joint derangement, unspecified: Other"
M2499,"Joint derangement, unspecified: Site unspecified"
M250,Haemarthrosis
M2500,Haemarthrosis: Multiple sites
M2501,Haemarthrosis: Shoulder region
M2502,Haemarthrosis: Upper arm
M2503,Haemarthrosis: Forearm
M2504,Haemarthrosis: Hand
M2505,Haemarthrosis: Pelvic region and thigh
M2506,Haemarthrosis: Lower leg
M2507,Haemarthrosis: Ankle and foot
M2508,Haemarthrosis: Other
M2509,Haemarthrosis: Site unspecified
M251,Fistula of joint
M2510,Fistula of joint: Multiple sites
M2511,Fistula of joint: Shoulder region
M2512,Fistula of joint: Upper arm
M2513,Fistula of joint: Forearm
M2514,Fistula of joint: Hand
M2515,Fistula of joint: Pelvic region and thigh
M2516,Fistula of joint: Lower leg
M2517,Fistula of joint: Ankle and foot
M2518,Fistula of joint: Other
M2519,Fistula of joint: Site unspecified
M252,Flail joint
M2520,Flail joint: Multiple sites
M2521,Flail joint: Shoulder region
M2522,Flail joint: Upper arm
M2523,Flail joint: Forearm
M2524,Flail joint: Hand
M2525,Flail joint: Pelvic region and thigh
M2526,Flail joint: Lower leg
M2527,Flail joint: Ankle and foot
M2528,Flail joint: Other
M2529,Flail joint: Site unspecified
M253,Other instability of joint
M2530,Other instability of joint: Multiple sites
M2531,Other instability of joint: Shoulder region
M2532,Other instability of joint: Upper arm
M2533,Other instability of joint: Forearm
M2534,Other instability of joint: Hand
M2535,Other instability of joint: Pelvic region and thigh
M2536,Other instability of joint: Lower leg
M2537,Other instability of joint: Ankle and foot
M2538,Other instability of joint: Other
M2539,Other instability of joint: Site unspecified
M254,Effusion of joint
M2540,Effusion of joint: Multiple sites
M2541,Effusion of joint: Shoulder region
M2542,Effusion of joint: Upper arm
M2543,Effusion of joint: Forearm
M2544,Effusion of joint: Hand
M2545,Effusion of joint: Pelvic region and thigh
M2546,Effusion of joint: Lower leg
M2547,Effusion of joint: Ankle and foot
M2548,Effusion of joint: Other
M2549,Effusion of joint: Site unspecified
M255,Pain in joint
M2550,Pain in joint: Multiple sites
M2551,Pain in joint: Shoulder region
M2552,Pain in joint: Upper arm
M2553,Pain in joint: Forearm
M2554,Pain in joint: Hand
M2555,Pain in joint: Pelvic region and thigh
M2556,Pain in joint: Lower leg
M2557,Pain in joint: Ankle and foot
M2558,Pain in joint: Other
M2559,Pain in joint: Site unspecified
M256,"Stiffness of joint, not elsewhere classified"
M2560,"Stiffness of joint, not elsewhere classified: Multiple sites"
M2561,"Stiffness of joint, not elsewhere classified: Shoulder region"
M2562,"Stiffness of joint, not elsewhere classified: Upper arm"
M2563,"Stiffness of joint, not elsewhere classified: Forearm"
M2564,"Stiffness of joint, not elsewhere classified: Hand"
M2565,"Stiffness of joint, not elsewhere classified: Pelvic region and thigh"
M2566,"Stiffness of joint, not elsewhere classified: Lower leg"
M2567,"Stiffness of joint, not elsewhere classified: Ankle and foot"
M2568,"Stiffness of joint, not elsewhere classified: Other"
M2569,"Stiffness of joint, not elsewhere classified: Site unspecified"
M257,Osteophyte
M2570,Osteophyte: Multiple sites
M2571,Osteophyte: Shoulder region
M2572,Osteophyte: Upper arm
M2573,Osteophyte: Forearm
M2574,Osteophyte: Hand
M2575,Osteophyte: Pelvic region and thigh
M2576,Osteophyte: Lower leg
M2577,Osteophyte: Ankle and foot
M2578,Osteophyte: Other
